GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
paymybuddy,com.codedidier.paymybuddy.entity,Transfer,20,53,0,0,3,24,3,15,3,15
paymybuddy,com.codedidier.paymybuddy.entity,User,38,164,0,2,5,56,5,31,5,30
paymybuddy,com.codedidier.paymybuddy.exception,DataAlreadyExistException,0,4,0,0,0,2,0,1,0,1
paymybuddy,com.codedidier.paymybuddy.exception,BadArgumentException,0,4,0,0,0,2,0,1,0,1
paymybuddy,com.codedidier.paymybuddy.exception,InvalidBalanceException,0,4,0,0,0,2,0,1,0,1
paymybuddy,com.codedidier.paymybuddy.exception,DataNotFindException,0,4,0,0,0,2,0,1,0,1
paymybuddy,com.codedidier.paymybuddy.exception,IllegalContactException,0,4,0,0,0,2,0,1,0,1
paymybuddy,com.codedidier.paymybuddy.controller,TransferControllerImpl,0,104,0,0,0,24,0,5,0,5
paymybuddy,com.codedidier.paymybuddy.controller,RegistrationControllerImpl,21,45,2,2,6,12,3,2,1,2
paymybuddy,com.codedidier.paymybuddy.controller,LoginControllerImpl,4,3,0,0,2,1,2,1,2,1
paymybuddy,com.codedidier.paymybuddy.controller,ContactControllerImpl,9,64,2,2,2,18,2,5,0,5
paymybuddy,com.codedidier.paymybuddy.controller,UserControllerImpl,0,110,0,0,0,24,0,5,0,5
paymybuddy,com.codedidier.paymybuddy.service,UserServiceImpl,85,367,27,33,15,89,21,19,1,9
paymybuddy,com.codedidier.paymybuddy.service,TransferServiceImpl,22,443,4,22,4,96,4,14,0,5
paymybuddy,com.codedidier.paymybuddy,PaymybuddyApplication,5,3,0,0,2,1,1,1,1,1
paymybuddy,com.codedidier.paymybuddy.model,UserModel,3,110,0,0,1,38,1,25,1,25
paymybuddy,com.codedidier.paymybuddy.model,TransferModel,81,0,0,0,27,0,18,0,18,0
paymybuddy,com.codedidier.paymybuddy.dto,NewUserDto,24,81,0,0,12,25,6,18,6,18
paymybuddy,com.codedidier.paymybuddy.dto,GetTransferDto,39,66,6,6,11,15,11,6,5,6
paymybuddy,com.codedidier.paymybuddy.dto,ContactDto,38,64,5,7,11,15,10,7,5,6
paymybuddy,com.codedidier.paymybuddy.dto,GetUserAccountDto,73,200,15,15,5,52,17,26,2,26
paymybuddy,com.codedidier.paymybuddy.dto,NewTransferDto,7,53,0,0,3,20,2,11,2,11
paymybuddy,com.codedidier.paymybuddy.constants,Fare,3,6,0,0,1,1,1,1,1,1
paymybuddy,com.codedidier.paymybuddy.security,UserDetailsImpl,3,37,0,0,1,11,1,7,1,7
paymybuddy,com.codedidier.paymybuddy.security,UserDetailsServiceImpl,0,25,0,0,0,4,0,3,0,3
paymybuddy,com.codedidier.paymybuddy.security,CustomWebSecurityConfigurerAdapter,0,63,0,0,0,22,0,4,0,4
